Liam Anderson,,"Hi, I'm Liam Anderson, a CG artist with a passion for creating lifelike 3D models and textures. My work ranges from character design to environment building, and I take pride in delivering high-quality assets for both games and animations. I use tools like Maya, Substance Painter, and Unreal Engine to bring ideas to life","안녕하세요. 저는 실물과 같은 3D 모델과 텍스처를 만드는 데 열정을 갖고 있는 CG 아티스트 Liam Anderson입니다. 내 작업은 캐릭터 디자인부터 환경 구축까지 다양하며, 게임과 애니메이션 모두에 고품질 자산을 제공하는 데 자부심을 갖고 있습니다. 저는 Maya, Substance Painter, Unreal Engine과 같은 도구를 사용하여 아이디어에 생명을 불어넣습니다.","3D modeling, texturing","3D 모델링, 텍스처링"
Emily Thompson,,"Hello! I'm Emily Thompson, a CG artist with a focus on visual effects and compositing. I specialize in creating realistic simulations and VFX for film and television, using programs like Houdini and Nuke. My goal is to craft visually striking scenes that enhance the storytelling process",안녕하세요! 저는 시각 효과와 합성을 전문으로 하는 CG 아티스트 Emily Thompson입니다. 저는 Houdini 및 Nuke와 같은 프로그램을 사용하여 영화와 TV를 위한 사실적인 시뮬레이션과 VFX를 만드는 것을 전문으로 합니다. 내 목표는 스토리텔링 과정을 향상시키는 시각적으로 인상적인 장면을 만드는 것입니다.,"visual effects, texturing, Maya, Substance, Painter, Unreal","시각 효과, 텍스처링, Maya, Substance, Painter, Unreal"
Noah Miller,,"I'm Noah Miller, a CG artist specializing in 3D character animation. I love bringing characters to life with dynamic movement and expression, whether for games, movies, or virtual reality. My expertise in rigging and motion capture allows me to create fluid, natural performances","3D 캐릭터 애니메이션 전문 CG 아티스트 노아 밀러입니다. 저는 게임, 영화, 가상 현실 등 어떤 분야에서든 역동적인 움직임과 표현으로 캐릭터에 생기를 불어넣는 것을 좋아합니다. 리깅 및 모션 캡처에 대한 전문 지식을 통해 유연하고 자연스러운 퍼포먼스를 만들 수 있습니다.","character animation, rigging, motion capture","캐릭터 애니메이션, 리깅, 모션 캡처"
Ava Garcia,,"Hi, I'm Ava Garcia, a CG artist with a background in 3D modeling and animation for architectural visualization. I focus on creating detailed, realistic interiors and exteriors that help architects and designers visualize their ideas in a compelling way. I use software like 3ds Max and V-Ray to achieve photorealistic results",안녕하세요. 저는 건축 시각화를 위한 3D 모델링 및 애니메이션 경력을 갖춘 CG 아티스트 Ava Garcia입니다. 저는 건축가와 디자이너가 자신의 아이디어를 설득력 있는 방식으로 시각화하는 데 도움이 되는 상세하고 사실적인 인테리어와 외관을 만드는 데 중점을 둡니다. 저는 사실적인 결과를 얻기 위해 3ds Max 및 V-Ray와 같은 소프트웨어를 사용합니다.,"3D modeling, animation, 3ds Max, V-Ray","3D 모델링, 애니메이션, 3ds Max, V-Ray"
James Turner,,"Hello, I'm James Turner, a CG artist focused on creating assets and animations for video games. I love working on both the artistic and technical sides of game development, from designing characters and environments to optimizing assets for performance. I use tools like Unity, ZBrush, and Substance Designer to build immersive worlds","안녕하세요. 저는 비디오 게임용 자산과 애니메이션 제작을 전문으로 하는 CG 아티스트 James Turner입니다. 저는 캐릭터와 환경 디자인부터 성능을 위한 자산 최적화에 이르기까지 게임 개발의 예술적, 기술적 측면 모두에서 작업하는 것을 좋아합니다. 저는 Unity, ZBrush, Substance Designer와 같은 도구를 사용하여 몰입형 세계를 구축합니다.","games, asset creation, animation, Unity, ZBrush","게임, 자산 생성, 애니메이션, Unity, ZBrush"
Grace Adams,,"Hey there! I'm Grace Adams, a CG artist with a passion for crafting stylized characters and animations. I enjoy using bright, bold designs to create unique and engaging visuals for both games and short films. My skills in Blender and After Effects help me create eye-catching and fun animations",안녕하세요! 저는 양식화된 캐릭터와 애니메이션 제작에 열정을 갖고 있는 CG 아티스트 Grace Adams입니다. 저는 밝고 대담한 디자인을 사용하여 게임과 단편 영화 모두에 독특하고 매력적인 비주얼을 만드는 것을 좋아합니다. Blender 및 After Effects 기술은 눈길을 사로잡고 재미있는 애니메이션을 만드는 데 도움이 됩니다.,"character crafting, character animation, Blender, After effects","캐릭터 제작, 캐릭터 애니메이션, 블렌더, 애프터 이펙트"
Jack Nguyen,,"Hi, I'm Jack Nguyen, a CG artist specializing in product visualization and animation. My expertise lies in creating photorealistic renders of consumer products, from electronics to vehicles, for marketing and advertising. I use software like Cinema 4D and KeyShot to deliver high-quality visuals that showcase products in their best light","안녕하세요. 저는 제품 시각화 및 애니메이션 전문 CG 아티스트 Jack Nguyen입니다. 저의 전문 분야는 전자제품부터 자동차, 마케팅 및 광고를 위한 소비자 제품의 사실적인 렌더링을 만드는 것입니다. 저는 Cinema 4D 및 KeyShot과 같은 소프트웨어를 사용하여 제품을 최상의 조명으로 선보이는 고품질 비주얼을 제공합니다.","photorealistic rendering, lighting, Cinema 4D, KeyShot","사실적 렌더링, 조명, Cinema 4D, KeyShot"
Chloe Scott,,"Hello! My name is Chloe Scott, and I'm a CG artist focused on VFX and 3D animation for film. I have experience creating digital environments and special effects, using tools like Houdini and Autodesk Maya to craft compelling and realistic scenes that enhance a story’s visual impact",안녕하세요! 제 이름은 Chloe Scott이고 영화용 VFX 및 3D 애니메이션을 전문으로 하는 CG 아티스트입니다. 저는 Houdini 및 Autodesk Maya와 같은 도구를 사용하여 스토리의 시각적 효과를 향상시키는 매력적이고 사실적인 장면을 제작하는 등 디지털 환경과 특수 효과를 제작한 경험이 있습니다.,"VFX, 3D animation, Houdini, Maya","VFX, 3D 애니메이션, Houdini, Maya"
Lucas Baker,,"I'm Lucas Baker, a CG artist passionate about creating 3D assets for augmented reality and virtual reality experiences. I love experimenting with immersive technologies and pushing the limits of what's possible in these spaces. My expertise in Unity and 3D modeling allows me to create rich, interactive environments",저는 증강 현실 및 가상 현실 경험을 위한 3D 자산 제작에 열정을 갖고 있는 CG 아티스트 Lucas Baker입니다. 저는 몰입형 기술을 실험하고 이러한 공간에서 가능한 것의 한계를 뛰어넘는 것을 좋아합니다. Unity 및 3D 모델링에 대한 전문 지식을 통해 풍부하고 인터랙티브한 환경을 만들 수 있습니다.,"3D modeling AR, VR, ","3D 모델링 AR, VR, "
Ella Williams,,"Hey, I'm Ella Williams, a CG artist with a focus on character sculpting and animation. I enjoy designing and animating characters with unique personalities for both games and films. Using software like ZBrush and Maya, I take pride in creating characters that are not only visually appealing but also expressive and lifelike",안녕하세요. 저는 캐릭터 조형과 애니메이션을 전문으로 하는 CG 아티스트 Ella Williams입니다. 저는 게임과 영화 모두에서 독특한 개성을 지닌 캐릭터를 디자인하고 애니메이션하는 것을 즐깁니다. ZBrush 및 Maya와 같은 소프트웨어를 사용하여 시각적으로 매력적일 뿐만 아니라 표현력이 풍부하고 생생하게 살아있는 캐릭터를 만드는 데 자부심을 느낍니다.,"character sculpting, character animation","캐릭터 조각, 캐릭터 애니메이션"
Daniel Rivera,,"Hi, I'm Daniel Rivera, a CG artist specializing in natural simulations and compositing. My passion lies in creating realistic environmental simulations such as water, fire, and smoke, bringing them to life with tools like Houdini and Blender. I strive to make nature’s elements look believable and visually engaging in both films and games","안녕하세요. 자연 시뮬레이션과 합성을 전문으로 하는 CG 아티스트 다니엘 리베라입니다. 나의 열정은 물, 불, 연기와 같은 현실적인 환경 시뮬레이션을 만들고 Houdini 및 Blender와 같은 도구를 사용하여 생생하게 구현하는 데 있습니다. 나는 영화와 게임 모두에서 자연의 요소가 믿을만하고 시각적으로 매력적으로 보이도록 노력합니다.","natural simulation, water, fire, smoke, compositing, houdini, blender","자연 시뮬레이션, 물, 불, 연기, 합성, 후디니, 블렌더"
Sophia Allen,,"Hello! I'm Sophia Allen, a CG artist with a focus on fluid dynamics and natural simulations. From realistic water simulations to intricate particle systems, I use my technical expertise in tools like Houdini and RealFlow to create complex and visually stunning effects that elevate any project.",안녕하세요! 저는 유체 역학과 자연 시뮬레이션에 중점을 둔 CG 아티스트 Sophia Allen입니다. 사실적인 물 시뮬레이션부터 복잡한 입자 시스템에 이르기까지 저는 Houdini 및 RealFlow와 같은 도구에 대한 기술 전문 지식을 사용하여 모든 프로젝트를 향상시키는 복잡하고 시각적으로 놀라운 효과를 만듭니다.,"fluid, natural simulation, particle system, houdini, realflow","유체, 자연 시뮬레이션, 입자 시스템, Houdini, Realflow"
Ava Brooks,,"Hi, I'm Ava Brooks, a CG artist with a love for natural simulations and photorealistic compositing. I specialize in simulating natural phenomena such as fire, water, and smoke while ensuring seamless integration into live-action footage through compositing techniques using After Effects and Nuke","안녕하세요, 저는 자연스러운 시뮬레이션과 사실적인 합성을 사랑하는 CG 아티스트 Ava Brooks입니다. 저는 After Effects와 Nuke를 사용한 합성 기술을 통해 실사 영상에 완벽하게 통합되는 동시에 불, 물, 연기와 같은 자연 현상을 시뮬레이션하는 것을 전문으로 합니다.","fire, water, smoke, After Effects, Nuke","불, 물, 연기, After Effects, Nuke"
Ethan Reed,,"Hello, I'm Ethan Reed, a CG artist focused on natural simulations, including particles, fluids, and vegetation systems. I use tools like Houdini and Maya to create realistic simulations for films and video games. My goal is to simulate nature in a way that looks and feels authentic","안녕하세요. 저는 입자, 유체, 식물 시스템 등 자연 시뮬레이션을 전문으로 하는 CG 아티스트 Ethan Reed입니다. 저는 Houdini와 Maya 같은 도구를 사용하여 영화와 비디오 게임에 대한 사실적인 시뮬레이션을 만듭니다. 내 목표는 실제처럼 보이고 느껴지는 방식으로 자연을 시뮬레이션하는 것입니다.","particles, fluids, vegetation systems, Houdini, Maya","입자, 유체, 식물 시스템, Houdini, Maya"
Mila Foster,,"Hey there! I'm Mia Foster, a CG artist who specializes in natural simulations and VFX compositing. I excel at creating elements like sandstorms, rain, and volcanic eruptions, and ensuring these effects blend seamlessly into footage or CG environments. My go-to tools are Houdini, Nuke, and Maya","안녕하세요! 저는 자연 시뮬레이션과 VFX 합성을 전문으로 하는 CG 아티스트 Mia Foster입니다. 저는 모래 폭풍, 비, 화산 폭발과 같은 요소를 만들고 이러한 효과가 영상이나 CG 환경에 원활하게 혼합되도록 하는 데 능숙합니다. 제가 주로 사용하는 도구는 Houdini, Nuke, Maya입니다.","sandstorms, rain, volcanic eruption, Houdini, Maya, Nuke","모래폭풍, 비, 화산폭발, Houdini, Maya, Nuke"
Oliver Hughes,,"Hi, I'm Oliver Hughes, a CG artist with expertise in simulating natural phenomena like flowing water, smoke, and fire. Whether it's a calm river or a raging wildfire, I use Houdini and Blender to simulate lifelike effects. My skills in compositing help me merge these elements into live-action seamlessly","안녕하세요. 저는 흐르는 물, 연기, 불 같은 자연 현상을 시뮬레이션하는 데 전문성을 갖춘 CG 아티스트 올리버 휴즈입니다. 잔잔한 강이든 격렬한 산불이든 저는 Houdini와 Blender를 사용하여 실제와 같은 효과를 시뮬레이션합니다. 내 합성 기술은 이러한 요소를 실사로 원활하게 병합하는 데 도움이 됩니다.","water, smoke, fire, Houdini, Blender","물, 연기, 불, Houdini, 블렌더"
Emily Perez,,"Hello! I'm Emily Perez, a CG artist focused on creating realistic simulations of natural environments. I specialize in generating large-scale simulations like forests, oceans, and weather effects. My compositing skills ensure that these elements blend smoothly into live-action shots or CG scenes using tools like Nuke and After Effects","안녕하세요! 저는 자연 환경을 사실적으로 시뮬레이션하는 데 주력하는 CG 아티스트 Emily Perez입니다. 저는 숲, 바다, 날씨 효과와 같은 대규모 시뮬레이션 생성을 전문으로 합니다. 내 합성 기술은 Nuke 및 After Effects와 같은 도구를 사용하여 이러한 요소가 실사 장면이나 CG 장면에 원활하게 혼합되도록 보장합니다.","forests, ocean, weather, After Effects, Nuke","숲, 바다, 날씨, After Effects, Nuke"
Lucas Ward,,"I'm Lucas Ward, a CG artist with a passion for natural simulations and compositing. I focus on generating dynamic effects like water simulations, particle systems, and natural destruction scenes. My work in compositing helps ensure that all these elements come together perfectly in the final render, creating photorealistic results","저는 자연 시뮬레이션과 합성에 열정을 갖고 있는 CG 아티스트 Lucas Ward입니다. 저는 물 시뮬레이션, 입자 시스템, 자연 파괴 장면과 같은 동적 효과를 생성하는 데 중점을 둡니다. 내 합성 작업은 이러한 모든 요소가 최종 렌더링에서 완벽하게 결합되어 사실적인 결과를 생성하는 데 도움이 됩니다.","water, particles","물, 입자"
Isabella Grant,,"Hey, I'm Isabella Grant, a CG artist specializing in simulating natural elements like wind, fire, and rain. I love working on projects where I can combine the complexity of nature with the art of compositing, using software like Houdini, Nuke, and Maya to create realistic effects that enhance the overall visual experience","안녕하세요. 저는 바람, 불, 비와 같은 자연 요소 시뮬레이션을 전문으로 하는 CG 아티스트 Isabella Grant입니다. 나는 Houdini, Nuke, Maya와 같은 소프트웨어를 사용하여 자연의 복잡성과 합성 기술을 결합하여 전반적인 시각적 경험을 향상시키는 사실적인 효과를 만드는 프로젝트 작업을 좋아합니다.","wind, fire, rain, houdini, Maya, Nuke","바람, 불, 비, Houdini, Maya, Nuke"
Lucas Rivera,,"Hi, I'm Lucas Rivera, a CG artist with a deep passion for facial animation. My focus is on creating expressive, lifelike facial movements that capture the subtleties of human emotion. Using tools like Maya and Faceware, I specialize in rigging and animating characters for games and films, ensuring every expression feels authentic and relatable",안녕하세요. 저는 얼굴 애니메이션에 대한 열정이 깊은 CG 아티스트 루카스 리베라입니다. 저는 인간 감정의 미묘함을 포착하는 표현력이 풍부하고 실제와 같은 얼굴 움직임을 만드는 데 중점을 두고 있습니다. 저는 Maya 및 Faceware와 같은 도구를 사용하여 게임과 영화의 캐릭터를 리깅하고 애니메이션하는 일을 전문으로 하며 모든 표현이 사실적이고 관련성이 느껴지도록 합니다.,"facial animation, Maya, character rigging, character animation","얼굴 애니메이션, 마야, 캐릭터 리깅, 캐릭터 애니메이션"
Ava Johnson,,"Hello! I'm Ava Johnson, a CG artist specializing in facial animation for characters in film and gaming. I love the challenge of bringing emotion and personality to life through facial expressions, using advanced tools like Blender and MotionBuilder to create nuanced, natural-looking animations that enhance storytelling",안녕하세요! 저는 영화와 게임 속 캐릭터의 얼굴 애니메이션을 전문으로 하는 CG 아티스트 Ava Johnson입니다. 저는 스토리텔링을 강화하는 미묘하고 자연스러운 애니메이션을 만들기 위해 Blender 및 MotionBuilder와 같은 고급 도구를 사용하여 얼굴 표정을 통해 감정과 개성을 생생하게 전달하는 도전을 좋아합니다.,"facial animation, blender, motionBuilder","얼굴 애니메이션, 블렌더, MotionBuilder"
Micahel Carter,,"I'm Michael Carter, a CG artist focused on facial animation. From subtle eye movements to complex emotional expressions, I enjoy working on every detail to ensure realistic and captivating performances. Using software like Maya and ZBrush, I specialize in facial rigging and animation for both cinematic and real-time applications","저는 얼굴 애니메이션을 전문으로 하는 CG 아티스트인 Michael Carter입니다. 미묘한 눈 움직임부터 복잡한 감정 표현까지, 현실적이고 매혹적인 연기를 보장하기 위해 모든 세부 사항에 대해 작업하는 것을 즐깁니다. 저는 Maya 및 ZBrush와 같은 소프트웨어를 사용하여 영화 및 실시간 응용 프로그램 모두를 위한 얼굴 리깅 및 애니메이션을 전문으로 합니다.","ZBrush, Maya, facial rigging, facial animation","ZBrush, Maya, 얼굴 리깅, 얼굴 애니메이션"
Ethan Davis,,"Hi, I'm Ethan Davis, a CG artist specializing in deepfake technology. I work with advanced AI algorithms and machine learning tools to create highly realistic facial reenactments and voice syncs. My expertise lies in blending technical precision with ethical practices, ensuring that my work is used responsibly for film, research, and entertainment","안녕하세요. 저는 딥페이크 기술 전문 CG 아티스트 Ethan Davis입니다. 저는 고급 AI 알고리즘과 기계 학습 도구를 사용하여 매우 사실적인 얼굴 재현과 음성 동기화를 만듭니다. 내 전문 지식은 기술적 정확성과 윤리적 관행을 혼합하여 내 작업이 영화, 연구 및 엔터테인먼트에 책임감 있게 사용되도록 하는 데 있습니다.","AI, facial reenactments, voice sync","AI, 얼굴 재연, 음성 동기화"
Mia Harper,,"Hello! I'm Mia Harper, a CG artist focused on deepfake creation and facial manipulation. Using tools like DeepFaceLab and machine learning models, I create hyper-realistic face swaps and reenactments for visual effects and creative projects. I aim to push the boundaries of technology while maintaining ethical integrity in all my work",안녕하세요! 저는 딥페이크 생성 및 얼굴 조작에 주력하는 CG 아티스트 Mia Harper입니다. 저는 DeepFaceLab 및 기계 학습 모델과 같은 도구를 사용하여 시각 효과 및 창의적인 프로젝트를 위한 초현실적인 얼굴 교환 및 재연을 만듭니다. 나는 모든 업무에서 윤리적 정직성을 유지하면서 기술의 경계를 넓히는 것을 목표로 합니다.,"deepfake, DeepFaceLab, face replacement","deepfake, DeepFaceLab, 얼굴 교체"
Jacob Foster,,"I'm Jacob Foster, a CG artist with a focus on deepfake technology and AI-driven facial replacement. I enjoy working with neural networks and machine learning to create seamless, photorealistic face-swapping effects for film, TV, and digital media. My work aims to integrate deepfake technology into storytelling while ensuring ethical considerations are met","저는 딥페이크 기술과 AI 기반 얼굴 교체에 중점을 두고 있는 CG 아티스트 Jacob Foster입니다. 저는 신경망과 기계 학습을 사용하여 영화, TV, 디지털 미디어에 완벽하고 사실적인 얼굴 교환 효과를 만드는 것을 좋아합니다. 내 작업은 윤리적 고려 사항을 충족하면서 딥페이크 기술을 스토리텔링에 통합하는 것을 목표로 합니다.","face replacement, AI","얼굴교체, AI"
